Date,Close/Last,Volume,Open,High,Low
06/10/2020,41.73,"22,826",40.87,41.99,40.13
06/09/2020,41.18,"25,330",40.95,41.43,39.85
06/08/2020,40.8,"27,714",42.41,43.43,40.68
06/05/2020,42.3,"27,833",39.93,42.48,39.72
06/04/2020,39.99,"21,847",39.38,40.1,39.06
06/03/2020,39.79,"32,814",39.52,40.53,38.75
06/02/2020,39.57,"27,325",38.48,39.79,38.34
06/01/2020,38.32,"25,728",37.54,38.68,37.17
05/29/2020,35.33,334,35.03,35.36,34.18
05/28/2020,35.29,"6,477",34.34,35.89,33.39
05/27/2020,34.74,"15,476",36.1,36.18,34
05/26/2020,36.17,"25,232",35.67,36.68,34.46
05/22/2020,35.13,"29,314",35.94,36.23,33.55
05/21/2020,36.06,"25,476",35.8,36.98,35.71
05/20/2020,35.75,"24,653",34.43,36.4,35.16
05/19/2020,34.65,"23,247",35.44,35.86,34.2
05/18/2020,34.81,"27,502",32.71,35.72,32.71
05/15/2020,32.5,"28,197",31.35,32.9,30.96
05/14/2020,31.13,"25,312",29.39,31.49,28.9
05/13/2020,29.19,"24,577",29.47,30.54,28.87
05/12/2020,29.98,"25,656",30.07,30.38,29.45
05/11/2020,29.63,"31,967",30.68,31.45,29.36
05/08/2020,30.97,"19,796",29.43,31.13,29.4
05/07/2020,29.46,"35,008",30.12,31.84,29.07
05/06/2020,29.72,"35,719",31.88,32.49,28.67
05/05/2020,30.97,"35,516",27.94,31.69,27.8
05/04/2020,27.2,"29,677",26.21,28.08,25.48
05/01/2020,26.44,"27,764",26.72,27.95,25.75
04/30/2020,25.27,"1,196",23.11,25.33,25.27
04/29/2020,22.54,"9,500",20.75,22.96,22.76
04/28/2020,20.46,"19,364",20.17,21.27,18.73
04/27/2020,19.99,"23,204",21.3,21.91,19.11
04/24/2020,21.44,"30,443",21.79,22.67,20.51
04/23/2020,21.33,"42,516",21.3,21.92,21.68
04/22/2020,20.37,"49,471",22.13,22.13,19.92
04/21/2020,19.33,"82,076",19.13,20.22,18.32
04/20/2020,25.57,"44,255",25.47,26.54,25.38
04/17/2020,28.08,"34,615",28.47,29,27.6
04/16/2020,27.82,"29,580",28.06,29.01,27.2
04/15/2020,27.69,"29,940",30.01,30.42,27.17
04/14/2020,29.6,"29,849",32.09,32.38,29.4
04/13/2020,31.74,"26,185",32.44,33.23,30.64
04/09/2020,31.48,"46,392",33.66,36.43,31.24
04/08/2020,32.84,"36,253",32.41,33.78,32.73
04/07/2020,31.87,"34,982",33.31,34.18,31.73
04/06/2020,33.05,"35,676",31.25,33.32,33.02
04/03/2020,34.11,"54,728",29.96,35,28.28
04/02/2020,29.94,"63,068",30.65,32.21,28.03
04/01/2020,24.74,"41,906",25.93,26.27,24.54
