name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ivory coast,2014-11-03,32.1,22.6,26.1,36.7,22.6,27.7,22.8,83.2,1.9,100,25,rain,,,,14.8,225.7,1010.8,65.3,9.7,269.1,23.2,9,,2014-11-03T06:08:32,2014-11-03T18:00:40,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-04,32.6,21.6,26.3,36.9,21.6,28.2,22.9,83.5,4,100,4.17,rain,,,,14.8,302.1,1012.6,72.8,9.9,253.6,22.1,9,,2014-11-04T06:08:42,2014-11-04T18:00:32,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-05,31.6,22,25.8,36.1,22,27.2,23,86,14,100,4.17,rain,,,,18.4,178.1,1013.9,82.2,9.5,196.9,17.1,7,,2014-11-05T06:08:52,2014-11-05T18:00:24,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-06,32.6,22.6,26.7,37.9,22.6,28.7,23.2,82.5,13,100,4.17,rain,,,,11.2,192.3,1013.4,75.3,9.7,224.5,19.4,8,,2014-11-06T06:09:04,2014-11-06T18:00:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-07,32,22,25.9,36.9,22,27.3,22.8,84.5,15,100,8.33,rain,,,,14.8,173.2,1012.1,63.4,8.3,267.8,23.2,9,,2014-11-07T06:09:16,2014-11-07T18:00:11,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-08,32.1,21,26.5,36.8,21,28.2,22.8,81.9,1,100,4.17,rain,,,,18.4,199.8,1011.3,63,8.9,263.7,22.8,9,,2014-11-08T06:09:28,2014-11-08T18:00:06,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-09,33,22,26.6,39.3,22,28.7,23.4,83.9,0.7,100,29.17,rain,,,,18.4,41.5,1010.8,47.8,9.6,234.1,20.4,8,,2014-11-09T06:09:42,2014-11-09T18:00:02,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-10,32,22.6,26.5,38,22.6,28.1,23.3,84.5,0.3,100,12.5,rain,,,,18.4,291.2,1010.2,57.8,9.7,216.2,18.7,7,,2014-11-10T06:09:56,2014-11-10T17:59:59,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-11,31.9,22.6,26.2,37,22.6,28,23.3,85.4,6,100,4.17,rain,,,,14.8,254.2,1010.6,70.8,8.8,225.3,19.4,8,,2014-11-11T06:10:11,2014-11-11T17:59:58,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-12,31.1,21,25.8,34.9,21,27.2,22.5,83.1,9,100,4.17,rain,,,,18.4,79.5,1010.5,88.4,9.6,120.7,10.4,4,,2014-11-12T06:10:26,2014-11-12T17:59:57,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-13,32.1,21.4,26.6,37.9,21.4,28.5,22.8,81.1,2,100,4.17,rain,,,,18.4,226.1,1010.4,66.8,9.8,209.2,18.2,7,,2014-11-13T06:10:43,2014-11-13T17:59:57,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-14,32.1,22.5,26.4,39.2,22.5,28.3,23.2,83.9,0.2,100,8.33,rain,,,,14.8,222,1010.9,68.1,9.2,245.8,21.1,8,,2014-11-14T06:11:00,2014-11-14T17:59:58,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-15,32.6,21.6,26.2,37.3,21.6,27.9,23.2,85,0.3,100,4.17,rain,,,,18.4,236.9,1010.8,48.7,8.3,260.8,22.5,9,,2014-11-15T06:11:18,2014-11-15T18:00:00,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DIYO,remote,DIDK,65563099999"
ivory coast,2014-11-16,32.7,22.8,26.8,37.8,22.8,28.9,23.1,81.8,0.4,100,12.5,rain,,,,14.8,329.7,1010.5,53,9.3,248.5,21.5,8,,2014-11-16T06:11:36,2014-11-16T18:00:03,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DIYO,remote,DIDK,65563099999"
